Database ID,Country,Districts,Region,Departments,Sous Prefecture,Commune,Latitude,Longitude,GeoID,ISO,ISO3,Most Specific Location,GeoID,latitude,longitude,feature class,feature code,country code,cc2,admin1 code,admin2 code,admin3 code,admin4 code,population,elevation,dem,timezone,modification date
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,DABAKALA,NIEMENE,,,,,,,NIEMENE,2283451,8.45702,-4.68838,P,PPL,CI,,90,,,,0,,373,Africa/Abidjan,1/10/14
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,DABAKALA,BONIEREDOUGOU,,,,,,,BONIEREDOUGOU,2291104,8.37683,-4.72083,P,PPL,CI,,90,,,,0,,353,Africa/Abidjan,1/10/14
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,DABAKALA,Bassawa,,,,,,,Bassawa,,,,,,,,,,,,,,,,
9378,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,DABAKALA,Bassawa,Bassawa,,,,,,Bassawa,,,,,,,,,,,,,,,,
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,DABAKALA,Bonieredougou,,,,,,,Bonieredougou,2291104,8.37683,-4.72083,P,PPL,CI,,90,,,,0,,353,Africa/Abidjan,1/10/14
9379,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,DABAKALA,Bonieredougou,Bonieredougou,,,,,,Bonieredougou,2291104,8.37683,-4.72083,P,PPL,CI,,90,,,,0,,353,Africa/Abidjan,1/10/14
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,DABAKALA,Dabakala,,,,,,,Dabakala,2290609,8.36321,-4.42863,P,PPL,CI,,90,,,,13717,,254,Africa/Abidjan,2/28/12
9380,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,DABAKALA,Dabakala,Dabakala,,,,,,Dabakala,2290609,8.36321,-4.42863,P,PPL,CI,,90,,,,13717,,254,Africa/Abidjan,2/28/12
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,DABAKALA,Foumbolo,,,,,,,Foumbolo,2288897,8.64189,-4.64539,P,PPL,CI,,90,,,,0,,386,Africa/Abidjan,1/10/14
9381,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,DABAKALA,Foumbolo,Foumbolo,,,,,,Foumbolo,2288897,8.64189,-4.64539,P,PPL,CI,,90,,,,0,,386,Africa/Abidjan,1/10/14
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,DABAKALA,Satama-Sokoro,,,,,,,Satama-Sokoro,2281943,7.89806,-4.53012,P,PPL,CI,,90,,,,0,,262,Africa/Abidjan,3/5/13
9382,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,DABAKALA,Satama-Sokoro,Satama-Sokoro,,,,,,Satama-Sokoro,2281943,7.89806,-4.53012,P,PPL,CI,,90,,,,0,,262,Africa/Abidjan,3/5/13
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,DABAKALA,Satama-Sokoura,,,,,,,Satama-Sokoura,2281942,7.89975,-4.3636,P,PPL,CI,,90,,,,0,,171,Africa/Abidjan,2/28/12
9383,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,DABAKALA,Satama-Sokoura,Satama-Sokoura,,,,,,Satama-Sokoura,2281942,7.89975,-4.3636,P,PPL,CI,,90,,,,0,,171,Africa/Abidjan,2/28/12
9376,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,KATIOLA,,,,,,,,KATIOLA,2287297,9.65516,-7.62194,P,PPL,CI,,77,,,,0,,398,Africa/Abidjan,2/28/12
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,KATIOLA,Timbe,,,,,,,Timbe,2280618,8.1701,-4.94663,P,PPL,CI,,90,,,,0,,244,Africa/Abidjan,1/10/13
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,KATIOLA,Fronan,,,,,,,Fronan,,,,,,,,,,,,,,,,
9384,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,KATIOLA,Fronan,Fronan,,,,,,Fronan,,,,,,,,,,,,,,,,
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,KATIOLA,Katiola,,,,,,,Katiola,2287297,9.65516,-7.62194,P,PPL,CI,,77,,,,0,,398,Africa/Abidjan,2/28/12
9385,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,KATIOLA,Katiola,Katiola,,,,,,Katiola,2287297,9.65516,-7.62194,P,PPL,CI,,77,,,,0,,398,Africa/Abidjan,2/28/12
9377,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,NIAKARAMADOUGOU,,,,,,,,NIAKARAMADOUGOU,,,,,,,,,,,,,,,,
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,NIAKARAMADOUGOU,ARIKOKAHA,,,,,,,ARIKOKAHA,2292761,8.78763,-5.19306,P,PPL,CI,,90,,,,0,,375,Africa/Abidjan,1/10/14
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,NIAKARAMADOUGOU,BADIKAHA,,,,,,,BADIKAHA,2292445,9.19166,-5.16499,P,PPL,CI,,90,,,,0,,421,Africa/Abidjan,2/28/12
