Database ID,Country,Districts,Region,Departments,Sous Prefecture,Commune,Latitude,Longitude,GeoID,ISO,ISO3,Most Specific Location
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,GBEKE,BOTRO,Diabo,,,,,,,Diabo
9370,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,GBEKE,BOTRO,Diabo,Diabo,,,,,,Diabo
9365,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,GBEKE,BOUAKE,,,,,,,,BOUAKE
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,GBEKE,BOUAKE,Bouake,,,,,,,Bouake
9371,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,GBEKE,BOUAKE,Bouake,Bouake,,,,,,Bouake
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,GBEKE,BOUAKE,Brobo,,,,,,,Brobo
9372,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,GBEKE,BOUAKE,Brobo,Brobo,,,,,,Brobo
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,GBEKE,BOUAKE,Djebonoua,,,,,,,Djebonoua
9373,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,GBEKE,BOUAKE,Djebonoua,Djebonoua,,,,,,Djebonoua
9366,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,GBEKE,SAKASSOU,,,,,,,,SAKASSOU
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,GBEKE,SAKASSOU,TOUMODI-SAKASSOU,,,,,,,TOUMODI-SAKASSOU
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,GBEKE,SAKASSOU,AYAOU-SRAN,,,,,,,AYAOU-SRAN
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,GBEKE,SAKASSOU,Sakassou,,,,,,,Sakassou
9374,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,GBEKE,SAKASSOU,Sakassou,Sakassou,,,,,,Sakassou
9362,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,,,,,,,,,HAMBOL
9375,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,DABAKALA,,,,,,,,DABAKALA
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,DABAKALA,SOKALA-SOBARA,,,,,,,SOKALA-SOBARA
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,DABAKALA,NIEMENE,,,,,,,NIEMENE
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,DABAKALA,BONIEREDOUGOU,,,,,,,BONIEREDOUGOU
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,DABAKALA,Bassawa,,,,,,,Bassawa
9378,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,DABAKALA,Bassawa,Bassawa,,,,,,Bassawa
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,DABAKALA,Bonieredougou,,,,,,,Bonieredougou
9379,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,DABAKALA,Bonieredougou,Bonieredougou,,,,,,Bonieredougou
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,DABAKALA,Dabakala,,,,,,,Dabakala
9380,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,DABAKALA,Dabakala,Dabakala,,,,,,Dabakala
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,DABAKALA,Foumbolo,,,,,,,Foumbolo
9381,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,DABAKALA,Foumbolo,Foumbolo,,,,,,Foumbolo
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,DABAKALA,Satama-Sokoro,,,,,,,Satama-Sokoro
9382,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,DABAKALA,Satama-Sokoro,Satama-Sokoro,,,,,,Satama-Sokoro
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,DABAKALA,Satama-Sokoura,,,,,,,Satama-Sokoura
9383,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,DABAKALA,Satama-Sokoura,Satama-Sokoura,,,,,,Satama-Sokoura
9376,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,KATIOLA,,,,,,,,KATIOLA
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,KATIOLA,Timbe,,,,,,,Timbe
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,KATIOLA,Fronan,,,,,,,Fronan
9384,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,KATIOLA,Fronan,Fronan,,,,,,Fronan
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,KATIOLA,Katiola,,,,,,,Katiola
9385,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,KATIOLA,Katiola,Katiola,,,,,,Katiola
9377,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,NIAKARAMADOUGOU,,,,,,,,NIAKARAMADOUGOU
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,NIAKARAMADOUGOU,ARIKOKAHA,,,,,,,ARIKOKAHA
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,NIAKARAMADOUGOU,BADIKAHA,,,,,,,BADIKAHA
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,NIAKARAMADOUGOU,NIEDIEKAHA,,,,,,,NIEDIEKAHA
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,NIAKARAMADOUGOU,Niakaramadougou,,,,,,,Niakaramadougou
9386,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,NIAKARAMADOUGOU,Niakaramadougou,Niakaramadougou,,,,,,Niakaramadougou
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,NIAKARAMADOUGOU,Tafire,,,,,,,Tafire
9387,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,NIAKARAMADOUGOU,Tafire,Tafire,,,,,,Tafire
,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,NIAKARAMADOUGOU,Tortiya,,,,,,,Tortiya
9388,Cote d`Ivoire,DISTRICT DE LA VILLE DU BANDAMA,HAMBOL,NIAKARAMADOUGOU,Tortiya,Tortiya,,,,,,Tortiya
9300,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,,,,,,,,,,DISTRICT DE SASSANDRA-MARAHOUE
9301,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,,,,,,,,,HAUT-SASSANDRA
9303,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,DALOA,,,,,,,,DALOA
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,DALOA,GADOUAN,,,,,,,GADOUAN
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,DALOA,ZAíèBO,,,,,,,ZAíèBO
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,DALOA,GONATE,,,,,,,GONATE
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,DALOA,Bediala,,,,,,,Bediala
9307,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,DALOA,Bediala,Bediala,,,,,,Bediala
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,DALOA,Daloa,,,,,,,Daloa
9308,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,DALOA,Daloa,Daloa,,,,,,Daloa
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,DALOA,Gboguhe,,,,,,,Gboguhe
9309,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,DALOA,Gboguhe,Gboguhe,,,,,,Gboguhe
9304,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,ISSIA,,,,,,,,ISSIA
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,ISSIA,BOGUEDIA,,,,,,,BOGUEDIA
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,ISSIA,IBOGUHE,,,,,,,IBOGUHE
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,ISSIA,NAHIO,,,,,,,NAHIO
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,ISSIA,NAMANE,,,,,,,NAMANE
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,ISSIA,Issia,,,,,,,Issia
9310,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,ISSIA,Issia,Issia,,,,,,Issia
,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,ISSIA,Saioua,,,,,,,Saioua
9311,Cote d`Ivoire,DISTRICT DE SASSANDRA-MARAHOUE,HAUT-SASSANDRA,ISSIA,Saioua,Saioua,,,,,,Saioua
